feature,quartile,cate_mean
vis_lifestyle_scene,Q1,0.020712172445109863
vis_lifestyle_scene,Q2,0.020339980095515492
vis_lifestyle_scene,Q3,0.018918568735124854
vis_lifestyle_scene,Q4,0.017687314699954226
vis_product_close-up,Q1,0.014746223380910252
vis_product_close-up,Q2,0.017993627617246627
vis_product_close-up,Q3,0.021293910004024738
vis_product_close-up,Q4,0.02363270145525191
vis_unboxing_scene,Q1,0.023613285803293277
vis_unboxing_scene,Q2,0.020867216057100475
vis_unboxing_scene,Q3,0.017858631836259947
vis_unboxing_scene,Q4,0.015314804661313186
n_frames,Q1,0.023358792930784904
n_frames,Q2,0.01904383448956006
n_frames,Q3,0.018035904705576714
n_frames,Q4,0.01678122469112237
vis_before_and_after_comparison,Q1,0.016104572844090198
vis_before_and_after_comparison,Q2,0.019048640304410603
vis_before_and_after_comparison,Q3,0.02047302000244707
vis_before_and_after_comparison,Q4,0.022038310733797552
